,,,,,,,,,,
Test Identifier,Test Summary,Test Description,Precondition,Test Steps,Expected Result,Actual Results,UI / API,Status ,Tester,Defect ID
UI_AUTH_ADM_001,,Verify if an admin can be logged in with correct credentials,-None,"1. Navigate to the login page.
2. Enter the admin username: admin.
3. Enter the admin password: admin123.
4. Click the Login button.
5. Verify if redirect to dashboard with the navigation pane visible",redirect to dashboard with the navigation pane visible,redirect to dashboard with the navigation pane visible,UI,Passed,215527A,
UI_DASH_ADM_001,,"Verify if the summary cards of categories, plants & sales are visible in the dashboard.",-login as an admin user,"1. Log in with valid admin credentials.
2. Wait for the redirect to complete.
3. Observe the dashboard page.
4. Verify if all 3 summary cards for category, pland, & sales are visible in the dashboard and shows accurate counts.","all 3 summary cards for category, pland, & sales are visible in the dashboard and shows accurate counts.","4 summary cads are visible. all 3 excpected summary cards for category, pland, & sales are visible in the dashboard and shows accurate counts. but an additional SRS not specified card with title ""Inventory"" is present without any counts or a button to guide the user into another place.",UI,Failed,215527A,
UI_CAT_ADM_001,,Verify if Add A Category button is visible to the admin.,-login as an admin user,"1. Log in as an admin.
2. Navigate to the Categories page.
3. Observe the presence of ""Add A Category"" button
4. Verify if ""Add A Category"" button is visible.","""Add A Category"" button is visible.","""Add A Category"" button is visible.",UI,Passed,215527A,
UI_CAT_ADM_002,,Verify if edit & delete buttons are visible to admin for each category in the categories page.,-login as an admin user,"1. Log in as an admin.
2. Navigate to the Categories page.
3. Observe the individual category rows in the list.
4. Verify if edit & delete buttons are visible for each category in the categories page.",edit & delete buttons are visible for each category in the categories page.,edit & delete buttons are visible for each category in the categories page.,UI,Passed,215527A,
UI_CAT_ADM_003,,Verify if the searching of an existing categoy by its name in the categories' page search bar works.,"-login as an admin user.

-the searching category already exists in the DB table.","1. Log in as any valid user (admin or normal).
2. Navigate to the Categories page.
3. Type the name of an existing category in the search bar.
4. Click the Search button.
5. Verify if Only the Searched category should become visible in the categories table.",Only the Searched category should become visible in the categories table.,Only the Searched category should become visible in the categories table.,UI,Passed,215527A,
UI_AUTH_USR_001,,Verify if a normal user can be logged in with correct credentials,-None,"1. Navigate to the login page.
2. Enter the normal username: user.
3. Enter the normal password: user123.
4. Click the Login button.
5. Verify if redirect to dashboard with the navigation pane visible",redirect to dashboard with the navigation pane visible,redirect to dashboard with the navigation pane visible,UI,Passed,215527A,
UI_AUTH_USR_002,,Verify if logging in with a correct non-admin username and an incorrect password is prohibited.,-None,"1. Navigate to the login page.
2. Enter a valid non-admin username .
3. Enter an incorrect password.
4. Click the Login button.
5. Verify if Error message “Invalid username or
password.” displayed","Error message “Invalid username or
password.” displayed","Error message “Invalid username or
password.” displayed",UI,Passed,215527A,
UI_AUTH_USR_003,,Verify if logging in with a correct non-admin username and an empty password is prohibited.,-None,"1. Navigate to the login page.
2. Enter a valid non-admin username.
3. Leave the password field empty.
4. Click the Login button
5. Verify if Validation message “Password is
required” shown in red","Validation message “Password is
required” shown in red","Validation message “Password is
required” shown in red",UI,Passed,215527A,
UI_AUTH_USR_004,,Verify if logging in with a emtpy non-admin username and a non-empty password is prohibited.,-None,"1. Navigate to the login page.
2. Leave the username field empty.
3. Enter any password.
4. Click the Login button.
5. Verify if Validation message “Username is
required” shown in red","Validation message “Username is
required” shown in red","Validation message “Username is
required” shown in red",UI,Passed,215527A,
UI_CAT_USR_001,,Verify if Add a Category button and category edit buttons and category delete buttons are not visible to a normal user.,-login as a normal user,"1. Log in as a normal user.
2. Navigate to the Categories page.
3. Observe the user interface for the ""Add A Category""button and individual category rows for edit""& ""delete""buttons.
4. Verify if None of the category management buttons are visible.",None of the category management buttons are visible.,"""Add a category"" button is not visible but edit & delete category buttons are visble.",UI,Failed,215527A,
API_POST_AUTH_ADM_001,,Verify if the admin login returns the auth token.,-None,"Method: POST
Endpoint: /api/auth
Headers: Content-Type: application/json
Payload:
{
  ""username"": ""admin"",
  ""password"": ""admin123""
}
Verify if HTTP 200; response body contains authtoken",HTTP 200; response body contains authtoken,"{""status"":200,""content"":{""token"":""eyJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJhZG1pbiIsInJvbGVzIjpbIlJPTEVfQURNSU4iXSwiaWF0IjoxNzgwMjExNTQ4LCJleHAiOjE3ODAyMTUxNDh9.qBvkWXb8qMgdmhhh6G2NR5yd5AN5o2X99GohjDpvyZs"",""tokenType"":""Bearer""}}",API,Passed,215527A,
API_GET_CAT_ADM_001,,Verify if the admin can get all the available categories.,- Admin token is available,"Method: GET
Endpoint: /api/categories
Headers: Authorization: Bearer <insert_admin_token_here>
Verify if HTTP 200; returns paginated list ofcategories",HTTP 200; returns paginated list ofcategories,"{""status"":200,""content"":{""value"":[{""id"":1,""name"":""Roses"",""parentName"":""-""},{""id"":2,""name"":""Succulents"",""parentName"":""Roses""},{""id"":3,""name"":""Tulips"",""parentName"":""-""}],""Count"":3}}",API,Passed,215527A,
